id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
sqhaTs9xc3G8OWHihGBipQ,terry-blacks-barbecue-dallas,Terry Black's Barbecue,https://s3-media1.fl.yelpcdn.com/bphoto/LD-QPzuIYHyHaOCdc3W39A/o.jpg,False,https://www.yelp.com/biz/terry-blacks-barbecue-dallas?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,1980,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"{'latitude': 32.78488, 'longitude': -96.77984000000001}",['delivery'],$$,"{'address1': '3025 Main St', 'address2': None, 'address3': '', 'city': 'Dallas', 'zip_code': '75226', 'country': 'US', 'state': 'TX', 'display_address': ['3025 Main St', 'Dallas, TX 75226']}",+14693990081,(469) 399-0081,6322.907117103936
ycL1qii6EpKXoLgMMboBIQ,pecan-lodge-dallas-3,Pecan Lodge,https://s3-media2.fl.yelpcdn.com/bphoto/8g7yxWYnCgj-T2BBMzW-Ag/o.jpg,False,https://www.yelp.com/biz/pecan-lodge-dallas-3?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,6485,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'southern', 'title': 'Southern'}]",4.5,"{'latitude': 32.78371943063679, 'longitude': -96.78386072987722}",['delivery'],$$,"{'address1': '2702 Main St', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75226', 'country': 'US', 'state': 'TX', 'display_address': ['2702 Main St', 'Dallas, TX 75226']}",+12147488900,(214) 748-8900,6346.090814739491
DtYMJeVbFgGXroWYUX5P4Q,hutchins-bbq-frisco-11,Hutchins BBQ,https://s3-media4.fl.yelpcdn.com/bphoto/Wk_OK8SA_uYPpOaF4F3vuA/o.jpg,False,https://www.yelp.com/biz/hutchins-bbq-frisco-11?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,2291,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 33.15463, 'longitude': -96.80443}",['delivery'],$$,"{'address1': '9225 Preston Rd', 'address2': '', 'address3': '', 'city': 'Frisco', 'zip_code': '75033', 'country': 'US', 'state': 'TX', 'display_address': ['9225 Preston Rd', 'Frisco, TX 75033']}",+19723772046,(972) 377-2046,35092.077469229465
CCtb60dWnUn9tXIS26s2Yw,cattleack-barbeque-dallas,Cattleack Barbeque,https://s3-media2.fl.yelpcdn.com/bphoto/zfZat-R9OHclAOIYg1nA6A/o.jpg,False,https://www.yelp.com/biz/cattleack-barbeque-dallas?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,871,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"{'latitude': 32.9339209, 'longitude': -96.8365455}",[],$$,"{'address1': '13628 Gamma Rd', 'address2': None, 'address3': None, 'city': 'Dallas', 'zip_code': '75244', 'country': 'US', 'state': 'TX', 'display_address': ['13628 Gamma Rd', 'Dallas, TX 75244']}",+19728050999,(972) 805-0999,11143.408688595006
GC8QmhLYqm5bGNPuyrvFvg,lockhart-smokehouse-dallas,Lockhart Smokehouse,https://s3-media3.fl.yelpcdn.com/bphoto/7lnUB-in_QNpkiUJqnxhew/o.jpg,False,https://www.yelp.com/biz/lockhart-smokehouse-dallas?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,2251,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'smokehouse', 'title': 'Smokehouse'}]",4.0,"{'latitude': 32.7493251, 'longitude': -96.828514}",['delivery'],$$,"{'address1': '400 W Davis St', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75208', 'country': 'US', 'state': 'TX', 'display_address': ['400 W Davis St', 'Dallas, TX 75208']}",+12149445521,(214) 944-5521,10316.56094941739
R_is7d19aRvuL9JuoK-TuQ,smokey-johns-bar-b-que-dallas,Smokey John's Bar-B-Que,https://s3-media4.fl.yelpcdn.com/bphoto/Y0BOJOBTP0gbYCJv2FL8hg/o.jpg,False,https://www.yelp.com/biz/smokey-johns-bar-b-que-dallas?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,569,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 32.821555, 'longitude': -96.85453}",['pickup'],$$,"{'address1': '1820 W Mockingbird Ln', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75235', 'country': 'US', 'state': 'TX', 'display_address': ['1820 W Mockingbird Ln', 'Dallas, TX 75235']}",+12143522752,(214) 352-2752,5406.636723163571
5pxAubyYAh69ZUzIy00BaQ,seelys-mill-dallas,Seely's Mill,https://s3-media1.fl.yelpcdn.com/bphoto/XU4bsl8v1XIwZDibPl_fjg/o.jpg,False,https://www.yelp.com/biz/seelys-mill-dallas?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,8,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 32.84040819769399, 'longitude': -96.77520663200418}",[],,"{'address1': '6070 N Central Expy', 'address2': None, 'address3': 'The Beeman Hotel', 'city': 'Dallas', 'zip_code': '75206', 'country': 'US', 'state': 'TX', 'display_address': ['6070 N Central Expy', 'The Beeman Hotel', 'Dallas, TX 75206']}",+12147506060,(214) 750-6060,2371.35648488489
W49Gcoi6AvLKQSXSPjlNGg,lil-mamas-bar-b-que-dallas,Lil Mama's Bar-B-Que,https://s3-media4.fl.yelpcdn.com/bphoto/72Z16h2HvEQ83E5qKURS3w/o.jpg,False,https://www.yelp.com/biz/lil-mamas-bar-b-que-dallas?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,6,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,"{'latitude': 32.77391, 'longitude': -96.74368}","['pickup', 'delivery']",$,"{'address1': '4353 Spring Ave', 'address2': None, 'address3': '', 'city': 'Dallas', 'zip_code': '75210', 'country': 'US', 'state': 'TX', 'display_address': ['4353 Spring Ave', 'Dallas, TX 75210']}",+14692507684,(469) 250-7684,8983.212646626807
N8_ELWPr7ydcJIaSK75X8Q,hard-eight-bbq-coppell,Hard Eight BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/qPw0EpjJSnMJBJtFgfo26A/o.jpg,False,https://www.yelp.com/biz/hard-eight-bbq-coppell?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,4078,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.0,"{'latitude': 32.95433710577, 'longitude': -97.0099357887317}",['pickup'],$$,"{'address1': '688 Freeport Pkwy', 'address2': '', 'address3': '', 'city': 'Coppell', 'zip_code': '75019', 'country': 'US', 'state': 'TX', 'display_address': ['688 Freeport Pkwy', 'Coppell, TX 75019']}",+19724715462,(972) 471-5462,23378.932198886265
VjNYKfFcnLMWk2mvsr8Kfw,oakd-bbq-dallas-2,OAK'D BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/q4ma_iNUipMxKxV54jRryw/o.jpg,False,https://www.yelp.com/biz/oakd-bbq-dallas-2?adjust_creative=VMnx30MF4aImYGj4P1VlKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VMnx30MF4aImYGj4P1VlKQ,282,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 32.856057329259286, 'longitude': -96.76839}",['delivery'],$$,"{'address1': '5500 Greenville Ave', 'address2': 'Ste 1300', 'address3': None, 'city': 'Dallas', 'zip_code': '75206', 'country': 'US', 'state': 'TX', 'display_address': ['5500 Greenville Ave', 'Ste 1300', 'Dallas, TX 75206']}",+12142428671,(214) 242-8671,3549.303571854375
